Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-10-22 16:20:12, 537d6e82-22df-4517-9f3d-b977c97af3df, /api/v1/pets, GET, BASIC, 283ms, CPU Load: 0.00%, Memory Load: 3.766075GB
2024-10-22 16:20:12, 2dfe70ca-e750-49dc-84f4-f148584aaaa3, /api/v1/visits, GET, BASIC, 196ms, CPU Load: 0.00%, Memory Load: 3.766075GB
Timestamp, Request ID, URI, Method, Pricing, Elapsed Time, CPU Load, Memory Load
2024-10-22 16:20:37, 3c0769a2-7027-4526-8bd7-75fe309ae6da, /api/v1/pets/types, GET, BASIC, 453ms, CPU Load: 66.67%, Memory Load: 3.766289GB
2024-10-22 16:20:17, 4deb658d-8cff-4eb6-85e2-9b5025e28fde, /api/v1/visits, GET, BASIC, 41ms, CPU Load: 66.67%, Memory Load: 3.766075GB
2024-10-22 16:20:37, 66288453-dd4f-4363-9c23-fd0a76e06e33, /api/v1/pets, POST, BASIC, 30ms, CPU Load: 66.67%, Memory Load: 3.766289GB
2024-10-22 16:20:32, a25eeaa6-9cfd-4d37-bc8e-62caa82f6b35, /api/v1/pets, POST, BASIC, 469ms, CPU Load: 37.04%, Memory Load: 3.766289GB
2024-10-22 16:20:22, 42fe5a57-13cf-432a-b967-8d22b5454ffb, /api/v1/pets/3650, DELETE, BASIC, 82ms, CPU Load: 64.00%, Memory Load: 3.766289GB
2024-10-22 16:20:42, e876dcc3-3da1-4681-b73f-456b3052faff, /api/v1/visits, GET, BASIC, 214ms, CPU Load: 0.00%, Memory Load: 3.766289GB
2024-10-22 16:20:17, 3d2083be-c2ae-429c-beb7-b683ba994e54, /api/v1/pets, GET, BASIC, 100ms, CPU Load: 66.67%, Memory Load: 3.766075GB
2024-10-22 16:20:22, c99ba99d-e90a-4e98-a6df-c6393eb28f71, /api/v1/visits, GET, BASIC, 490ms, CPU Load: 64.00%, Memory Load: 3.766289GB
2024-10-22 16:20:17, 36c343d9-7ff7-44cd-8990-75d05006c43d, /api/v1/pets/3648, DELETE, BASIC, 299ms, CPU Load: 66.67%, Memory Load: 3.766075GB
2024-10-22 16:20:42, b0dfd106-cf49-4a66-9596-a968c0c21b0c, /api/v1/pets, GET, BASIC, 387ms, CPU Load: 0.00%, Memory Load: 3.766289GB
2024-10-22 16:20:27, 58a91592-23ab-453d-9a69-da68f34964bf, /api/v1/pets, GET, BASIC, 70ms, CPU Load: 60.87%, Memory Load: 3.766289GB
