target_plan,model,mae,mse,importance_total_requests,importance_unique_endpoints,importance_null_requests,importance_basic_requests,importance_gold_requests,importance_platinum_requests,importance_null_resource_usage,importance_basic_resource_usage,importance_gold_resource_usage,importance_platinum_resource_usage
null,LinearRegression,8.88309411768709,56893.64935575466,,,,,,,,,,
null,RandomForestRegressor,0.061596878050924814,2.6375503388858816,0.19298245614035087,0.0,0.15789473684210525,0.17543859649122806,0.017543859649122806,0.0,0.22807017543859648,0.22807017543859648,0.0,0.0
null,GradientBoostingRegressor,0.00555341605057036,0.022229975279859183,0.006574712759475643,0.0,0.3065668894704823,0.27355150592647753,0.0,0.0,0.13867264333435997,0.27463424850920193,2.494655202986104e-15,1.7111665366387384e-16
null,SVR,0.12819338699338617,9.049636673131067,,,,,,,,,,
null,KNeighborsRegressor,0.08970715773583285,5.802156761458989,,,,,,,,,,
BASIC,LinearRegression,7.13342211069969,27723.685214878602,,,,,,,,,,
BASIC,RandomForestRegressor,0.8608904808146729,2.9582493958419156,0.016548584824204765,0.004435633260841135,0.006311855500047684,0.026018472053106288,0.01785395642491892,0.006605810107445574,0.008150821251517887,0.3872373055751457,0.33083461033457845,0.19600295066819373
BASIC,GradientBoostingRegressor,0.7805208622135905,1.3357060708515873,0.0020463493654764692,6.295062955601192e-05,0.006258122392734703,0.018938488846265426,0.031585803257142026,0.0006293118635161034,0.00562113428382692,0.43861458675711085,0.29805021927481995,0.19819303332955163
BASIC,SVR,0.84802727791303,6.499254771806206,,,,,,,,,,
BASIC,KNeighborsRegressor,0.8886569042407853,3.6557570769285004,,,,,,,,,,
GOLD,LinearRegression,2.365734972488396,2238.932541413333,,,,,,,,,,
GOLD,RandomForestRegressor,0.31406741057795645,0.26777820857363516,0.06086125751499631,0.0014959279315530478,0.0,0.00942008660025479,0.01923972225685577,0.0014955565354591712,0.0,0.24046705745202063,0.6586941092276216,0.00832628248123868
GOLD,GradientBoostingRegressor,0.3351287995850526,0.25743118491682515,0.028147315426952382,1.0192259478146038e-05,2.4134252190337434e-06,0.0014446786333501011,0.017051961399269212,0.001018796249810116,1.6020966934435555e-05,0.25097108113073435,0.6766039204843661,0.024733620023886113
GOLD,SVR,0.43126353556895625,1.188507297958241,,,,,,,,,,
GOLD,KNeighborsRegressor,0.48287527999958396,0.900073573697352,,,,,,,,,,
PLATINUM,LinearRegression,1.4978333538929929,786.3538945614162,,,,,,,,,,
PLATINUM,RandomForestRegressor,0.19420492691107233,0.1114323656948621,0.1782013836688858,0.0009760282317720502,0.0,0.007188915899852588,0.0005060028719073897,0.011236741282235025,0.0,0.043738501768577,0.0035803294258818586,0.7545720968508883
PLATINUM,GradientBoostingRegressor,0.21546270837331516,0.11636931460849988,0.13312227346812297,0.00012264931033450623,0.0,0.0015189460631974852,0.00014071019082837562,0.009248905184635095,0.0,0.07504731059891986,0.01362874527807398,0.7671704599058877
PLATINUM,SVR,0.3275068348313062,0.6890960801972661,,,,,,,,,,
PLATINUM,KNeighborsRegressor,0.45256330742114786,0.7004255396169282,,,,,,,,,,
